Country,Code,N,GH_first_pct,GH_last_pct,Median_team,Mean_countries,Pct_funded
['US'],['US'],3441,49.7,40.8,6,2.0,35.8
['GB'],['GB'],1186,63.2,40.1,5,2.0,40.5
['ZA'],['ZA'],654,71.3,34.9,4,2.0,31.2
['CN'],['CN'],650,39.8,23.5,6,2.0,49.8
['DE'],['DE'],487,56.5,30.6,7,2.0,48.3
['AU'],['AU'],442,72.4,52.0,5,2.0,24.9
['NG'],['NG'],419,48.2,48.7,5,2.0,18.6
['CA'],['CA'],322,56.8,49.4,4,2.0,27.0
['GB' 'US'],['GB' 'US'],305,30.8,29.2,7,3.0,51.1
['ZM'],['ZM'],291,88.0,85.6,5,2.0,15.5
['SK'],['SK'],275,53.8,51.6,3,2.0,0.4
['NL'],['NL'],251,69.7,28.3,5,2.0,38.6
['IN'],['IN'],213,47.4,47.9,5,2.0,9.4
['DK'],['DK'],202,68.8,33.7,6,2.0,63.9
['JP'],['JP'],185,56.8,31.9,8,2.0,50.3
['NG' 'US'],['NG' 'US'],184,33.7,18.5,10,3.0,37.0
['CA' 'US'],['CA' 'US'],154,31.2,28.6,7,3.0,39.0
['CH'],['CH'],143,66.4,39.9,6,2.0,52.4
['US' 'ZA'],['US' 'ZA'],122,59.0,25.4,6,3.0,44.3
['PK'],['PK'],112,46.4,58.0,6,2.0,7.1
['US' 'ZM'],['US' 'ZM'],97,46.4,38.1,7,3.0,36.1
['KE'],['KE'],96,56.2,56.2,5,2.0,37.5
['KR'],['KR'],92,72.8,50.0,5,2.0,41.3
['KE' 'US'],['KE' 'US'],84,28.6,29.8,8,3.0,64.3
['AU' 'US'],['AU' 'US'],80,48.8,27.5,6,3.0,45.0
['AU' 'GB'],['AU' 'GB'],61,55.7,31.1,6,3.0,37.7
['TW'],['TW'],61,49.2,49.2,4,2.0,23.0
['IT'],['IT'],58,48.3,27.6,5,2.0,29.3
['GB' 'NL'],['GB' 'NL'],56,51.8,17.9,6,3.0,44.6
['NL' 'US'],['NL' 'US'],55,47.3,27.3,7,3.0,52.7
['BF'],['BF'],55,25.5,25.5,9,2.0,30.9
['CM'],['CM'],55,61.8,47.3,6,2.0,40.0
['MY'],['MY'],55,63.6,41.8,4,2.0,16.4
['GB' 'ZA'],['GB' 'ZA'],55,47.3,29.1,5,3.0,40.0
['IN' 'US'],['IN' 'US'],53,41.5,39.6,8,3.0,37.7
['NZ'],['NZ'],53,64.2,43.4,6,2.0,30.2
['JP' 'US'],['JP' 'US'],51,60.8,39.2,11,3.0,49.0
['DE' 'US'],['DE' 'US'],51,54.9,15.7,8,3.0,37.3
['IR'],['IR'],47,53.2,44.7,5,2.0,46.8
['SE'],['SE'],46,47.8,37.0,4,2.0,26.1
['GB' 'NG'],['GB' 'NG'],46,37.0,32.6,6,3.0,26.1
['NL' 'ZA'],['NL' 'ZA'],46,56.5,39.1,7,3.0,56.5
['CN' 'US'],['CN' 'US'],45,26.7,13.3,7,3.0,60.0
['FR'],['FR'],45,71.1,46.7,8,2.0,44.4
['GM'],['GM'],43,90.7,65.1,6,2.0,48.8
['CH' 'US'],['CH' 'US'],43,39.5,18.6,7,3.0,53.5
['ES'],['ES'],42,31.0,31.0,6,2.0,45.2
['AU' 'CA' 'GB'],['AU' 'CA' 'GB'],42,57.1,2.4,7,4.0,2.4
['GB' 'KE'],['GB' 'KE'],42,28.6,33.3,7,3.0,81.0
['UG'],['UG'],41,56.1,51.2,7,2.0,29.3
['BE'],['BE'],41,61.0,29.3,6,2.0,36.6
['DE' 'GB'],['DE' 'GB'],40,57.5,37.5,9,3.0,62.5
['TH'],['TH'],40,30.0,25.0,5,2.0,40.0
['NO'],['NO'],39,59.0,51.3,5,2.0,30.8
['GB' 'NG' 'US'],['GB' 'NG' 'US'],36,19.4,19.4,12,4.0,33.3
['FI'],['FI'],35,62.9,42.9,4,2.0,25.7
['GB' 'US' 'ZA'],['GB' 'US' 'ZA'],35,40.0,17.1,7,4.0,54.3
['ET'],['ET'],33,48.5,48.5,6,2.0,36.4
['CN' 'GB'],['CN' 'GB'],32,31.2,15.6,8,3.0,62.5
['CA' 'GB' 'US'],['CA' 'GB' 'US'],30,33.3,23.3,16,4.0,56.7
