Bloc,Position,N,GH_pct,CI_lo,CI_hi
Multi-bloc,first,7861,25.989059916041217,25.031443211889314,26.97013215659817
Multi-bloc,last,7861,19.450451596488996,18.59046446721803,20.34028162413174
Western,first,9236,52.65266349068861,51.63349909751672,53.6696221971915
Western,last,9236,36.95322650498051,35.974458214271145,37.942843172980204
African,first,2267,59.55006616674019,57.51522552545383,61.55259615439468
African,last,2267,46.40494044993383,44.35985473011743,48.46218930264169
East Asian,first,1204,46.262458471760795,43.46244298184946,49.086247962417865
East Asian,last,1204,30.23255813953488,27.70462126493104,32.88623306252727
South Asian,first,368,47.55434782608695,42.50358075306263,52.65564650010934
South Asian,last,368,50.0,44.91794699630838,55.08205300369162
Other,first,79,53.16455696202531,42.27140939927444,63.764215843422235
Other,last,79,68.35443037974683,57.45191237451232,77.55471403312849
Latin American,first,39,58.97435897435898,43.418622882896976,72.92068999927483
Latin American,last,39,48.717948717948715,33.865175329862005,63.800637115542024
MENA,first,149,62.41610738255034,54.41920114302481,69.78889022530382
MENA,last,149,42.95302013422819,35.28046864777517,50.97980381884912
