Feature,Mean_abs_SHAP,Mean_SHAP
country_count,0.6186089,-0.1170743
log_author_count,0.17772336,-0.007159072
has_US,0.14983435,-0.01353213
year_centered,0.14895372,-0.0005705572
has_funding_int,0.09806834,-0.0062541286
is_oa_int,0.071294874,0.0029058573
pt_encoded,0.06470642,1.3655108e-05
has_ZA,0.05635424,0.0044209375
has_NG,0.0543949,-0.0073440056
has_CN,0.04950093,-0.0051711695
field_encoded,0.047165602,0.0018320363
has_NL,0.045187276,-0.00052813726
has_GB,0.028997742,-0.005414473
has_DE,0.02803563,0.0027171161
author_count,0.025208581,0.0027543465
has_KE,0.022974167,-0.004560897
is_bilateral,0.020476718,-0.002109181
has_IN,0.016981276,-0.002304205
