Feature,Mean_abs_SHAP,Mean_SHAP
country_count,0.50539887,-0.13046417
log_author_count,0.21780011,-0.028940009
has_funding_int,0.16802698,-0.013771252
year_centered,0.15857552,-0.008860853
is_oa_int,0.10990588,-0.00016704456
field_encoded,0.08643562,-0.008342855
pt_encoded,0.08254172,-0.013066918
has_US,0.07646991,-0.006279613
has_ZA,0.054564584,-0.007285067
has_DE,0.05397679,-0.006775834
has_NG,0.048086286,-0.005787978
has_GB,0.046604313,-0.0045411563
has_CN,0.042771023,-0.0051663737
is_bilateral,0.03958449,0.007270355
author_count,0.026759746,-0.0009923901
has_KE,0.024371631,-0.0069269957
has_NL,0.01900128,-0.0032655352
has_IN,0.018858863,-0.00138362
