Feature,Mean_abs_SHAP,Mean_SHAP
country_count,0.57900566,-0.108249865
log_author_count,0.17787701,0.00019673088
year_centered,0.124410346,-0.005128872
is_oa_int,0.0934318,0.0049134307
has_funding_int,0.08956715,-0.0023152912
is_western,0.070522875,-0.009965213
is_multibloc,0.058985654,-0.007977011
bloc_encoded,0.046514247,-0.0038371845
field_encoded,0.045686577,-0.000804302
author_count,0.03734067,-0.0031670225
is_african,0.03501718,-0.0037735885
year_centered_sq,0.0309476,-0.0019549457
is_bilateral,0.013056104,-0.0023788505
