Sensitivity,N,log_author_count_OR,log_author_count_sig,bloc_Multi-bloc_OR,bloc_Multi-bloc_sig,bloc_Western_OR,bloc_Western_sig,has_funding_int_OR,has_funding_int_sig,is_oa_int_OR,is_oa_int_sig,year_centered_OR,year_centered_sig
S1_dual_as_GH,21203,0.5288,*,0.3774,*,0.9119,,0.8512,,1.2648,*,1.0408,*
S2_dual_as_nonGH,21203,0.7141,*,0.3877,*,1.4319,*,0.745,*,1.2957,*,1.0387,
S3_4plus_authors,18019,0.5138,*,0.3734,*,0.9611,,0.8175,,1.3441,*,1.025,
S4_articles_only,16672,0.5429,*,0.3755,*,0.9424,,0.8428,*,1.2605,*,1.0275,
S5_max50_authors,20877,0.531,*,0.3797,*,0.9135,,0.8568,,1.2626,*,1.04,
S6_no_covid_papers,20507,0.5279,*,0.3857,*,0.9101,,0.8442,,1.2709,*,1.043,*
S7_with_covid_era,21203,0.529,*,0.3775,*,0.9119,,0.8503,,1.2664,*,1.0357,
S8_standard_logit,21203,0.5174,*,0.3705,*,0.8877,*,0.8418,*,1.2654,*,1.0451,*
S10_gh_only,21203,0.7141,*,0.3877,*,1.4319,*,0.745,*,1.2957,*,1.0387,
S11_2000_2024,18233,0.5057,*,0.3907,*,0.9146,,0.8575,,1.2392,*,1.0198,
S12_linear_year,21203,0.5279,*,0.3761,*,0.9093,,0.8572,,1.2654,*,1.0171,*
S13_linear_AC,21203,,,,,,,,,,,,
S14_last_auth,21203,0.5396,*,0.4241,*,0.7935,*,0.6911,*,1.3603,*,0.9589,*
