Metric,Value
Total collaborations,1414
Earliest year,2000.0
Latest year,2025.0
Peak year count,296
Field: Medicine,886 (62.7%)
Field: Engineering,163 (11.5%)
"Field: Biochemistry, Genetics and Molecular Biology",121 (8.6%)
Field: Health Professions,84 (5.9%)
Field: Immunology and Microbiology,60 (4.2%)
First author Ghanaian,198 (14.0%)
First author Dual-affiliated,133 (9.4%)
First author Non-Ghanaian,1083 (76.6%)
Last author Ghanaian,248 (18.6%)
Last author Dual-affiliated,108 (8.1%)
Last author Non-Ghanaian,975 (73.3%)
Corresponding author Ghanaian,358 (15.8%)
Corresponding author Dual-affiliated,147 (6.5%)
Corresponding author Non-Ghanaian,1762 (77.7%)
