Variable,OR,95% CI Lower,95% CI Upper,p-value
const,1.294,1.063,1.574,0.010
year_centered,1.0,0.992,1.008,0.988
country_count,0.707,0.681,0.735,< 0.001
author_count,0.961,0.954,0.968,< 0.001
has_funding_bool,0.664,0.625,0.707,< 0.001
is_oa_bool,1.346,1.259,1.44,< 0.001
covid_era,1.198,1.089,1.318,< 0.001
bloc_East Asian,0.594,0.523,0.676,< 0.001
bloc_Latin American,1.04,0.574,1.885,0.897
bloc_MENA,0.753,0.568,0.998,0.048
bloc_Multi-bloc,0.755,0.674,0.846,< 0.001
bloc_Other,1.844,1.114,3.05,0.017
bloc_South Asian,0.914,0.745,1.122,0.391
bloc_Western,0.777,0.711,0.849,< 0.001
field_Engineering,2.032,1.785,2.313,< 0.001
field_Health Sciences,1.496,1.332,1.681,< 0.001
field_Immunology and Microbiology,1.239,1.032,1.487,0.022
field_Neuroscience,1.549,1.161,2.066,0.003
field_Other,1.231,0.956,1.584,0.107
