Institution,Total_works,First_author_instances,Last_author_instances,Corresponding_author_instances
University of Ghana,7709,2647,2062,3057
Kwame Nkrumah University of Science and Technology,5692,2227,1649,2527
Noguchi Memorial Institute for Medical Research,1963,593,457,701
University of Cape Coast,2325,926,574,1066
University of Health and Allied Sciences,2230,828,579,943
Ghana Health Service,1991,486,317,596
Komfo Anokye Teaching Hospital,1554,406,248,433
Korle Bu Teaching Hospital,1743,427,304,461
Dominion University College,1127,741,667,746
University for Development Studies,1278,527,288,554
Kumasi Centre for Collaborative Research in Tropical Medicine,632,174,127,237
Kintampo Health Research Centre,463,148,91,170
Navrongo Health Research Centre,563,148,85,175
Indepth Network,370,79,120,104
Council for Scientific and Industrial Research,528,177,117,169
"University of Education, Winneba",515,226,170,256
Tamale Teaching Hospital,401,108,87,119
University of Energy and Natural Resources,355,176,89,185
Ministry of Health,353,85,53,94
University of Mines and Technology,350,165,138,182
