Year,N_works,first_Ghanaian_pct,first_Ghanaian_n,first_Dual-affiliated_pct,first_Dual-affiliated_n,first_Non-Ghanaian_pct,first_Non-Ghanaian_n,first_total,last_Ghanaian_pct,last_Ghanaian_n,last_Dual-affiliated_pct,last_Dual-affiliated_n,last_Non-Ghanaian_pct,last_Non-Ghanaian_n,last_total,corresponding_Ghanaian_pct,corresponding_Ghanaian_n,corresponding_Dual-affiliated_pct,corresponding_Dual-affiliated_n,corresponding_Non-Ghanaian_pct,corresponding_Non-Ghanaian_n,corresponding_total,corr_coverage_pct
2000.0,104,28.8,30,18.3,19,52.9,55,104,23.1,24,16.3,17,60.6,63,104,25.2,27,16.8,18,57.9,62,107,100.0
2001.0,119,24.4,29,22.7,27,52.9,63,119,12.6,15,17.6,21,69.7,83,119,21.7,26,21.7,26,56.7,68,120,100.0
2002.0,128,25.0,32,28.9,37,46.1,59,128,14.1,18,21.1,27,64.8,83,128,22.7,29,28.9,37,48.4,62,128,100.0
2003.0,171,16.4,28,32.7,56,50.9,87,171,22.9,39,24.7,42,52.4,89,170,15.5,27,32.2,56,52.3,91,174,100.0
2004.0,181,18.8,34,26.0,47,55.2,100,181,13.3,24,26.0,47,60.8,110,181,17.0,31,24.7,45,58.2,106,182,100.0
2005.0,191,16.2,31,24.1,46,59.7,114,191,15.7,30,17.8,34,66.5,127,191,15.8,31,23.0,45,61.2,120,196,100.0
2006.0,211,16.1,34,31.3,66,52.6,111,211,18.0,38,19.9,42,62.1,131,211,17.0,38,29.6,66,53.4,119,223,100.0
2007.0,275,21.1,58,22.9,63,56.0,154,275,20.4,56,16.0,44,63.6,175,275,19.4,58,21.7,65,58.9,176,299,100.0
2008.0,293,19.1,56,28.3,83,52.6,154,293,15.4,45,19.5,57,65.1,190,292,18.7,61,25.2,82,56.1,183,326,100.0
2009.0,295,21.0,62,23.4,69,55.6,164,295,16.3,48,18.0,53,65.8,194,295,19.1,58,22.1,67,58.7,178,303,100.0
2010.0,374,21.9,82,17.4,65,60.7,227,374,21.2,79,13.9,52,64.9,242,373,19.3,74,16.1,62,64.6,248,384,100.0
2011.0,392,23.7,93,20.7,81,55.6,218,392,19.6,77,12.5,49,67.9,266,392,21.4,89,19.0,79,59.6,248,416,100.0
2012.0,498,24.1,120,18.1,90,57.8,288,498,19.5,97,15.1,75,65.4,325,497,22.1,119,16.7,90,61.2,330,539,99.8
2013.0,583,25.9,151,18.9,110,55.2,322,583,19.4,113,12.0,70,68.6,400,583,24.1,154,17.4,111,58.5,374,639,100.0
2014.0,684,25.6,175,21.8,149,52.6,360,684,21.8,148,14.4,98,63.8,433,679,23.3,175,19.1,143,57.6,432,750,99.7
2015.0,823,22.8,188,23.7,195,53.5,440,823,17.9,147,11.2,92,70.9,583,822,20.8,185,20.6,183,58.6,521,889,100.0
2016.0,869,25.0,217,20.8,181,54.2,471,869,20.5,177,11.0,95,68.5,592,864,24.0,242,17.1,172,58.9,594,1008,100.0
2017.0,949,26.1,248,20.5,195,53.3,506,949,20.5,193,8.8,83,70.7,667,943,24.5,264,16.8,181,58.7,632,1077,100.0
2018.0,1138,26.7,304,19.9,227,53.3,607,1138,21.1,239,9.1,103,69.8,789,1131,24.3,320,16.6,219,59.1,780,1319,100.0
2019.0,1397,28.7,401,20.5,286,50.8,710,1397,22.4,311,9.6,133,68.1,946,1390,25.5,404,17.4,276,57.1,905,1585,99.9
2020.0,2036,23.4,477,23.7,483,52.8,1076,2036,21.9,444,14.0,283,64.2,1301,2028,21.7,496,21.1,483,57.2,1307,2286,100.0
2021.0,2085,27.0,562,18.2,380,54.8,1143,2085,19.8,409,10.5,217,69.7,1443,2069,19.9,586,14.1,415,66.0,1947,2948,99.9
2022.0,2350,26.9,632,15.1,356,58.0,1362,2350,23.6,550,8.9,208,67.5,1575,2333,26.3,740,12.5,351,61.2,1719,2810,99.9
2023.0,2448,29.5,721,16.7,410,53.8,1317,2448,23.8,576,11.5,278,64.8,1569,2423,28.6,1031,12.8,464,58.6,2116,3611,99.8
2024.0,2714,26.9,731,17.1,465,55.9,1518,2714,24.2,651,11.8,318,64.0,1721,2690,26.6,1078,13.1,531,60.3,2439,4048,99.9
2025.0,3460,25.8,894,15.5,536,58.7,2030,3460,25.1,862,10.8,372,64.1,2204,3438,26.9,1280,12.2,582,60.8,2890,4752,100.0
