Field,N_works,first_Ghanaian_pct,first_Dual-affiliated_pct,first_Non-Ghanaian_pct,last_Ghanaian_pct,last_Dual-affiliated_pct,last_Non-Ghanaian_pct,corresponding_Ghanaian_pct,corresponding_Dual-affiliated_pct,corresponding_Non-Ghanaian_pct
Medicine,13772,27.1,15.8,57.1,22.5,9.5,68.0,25.7,12.8,61.6
Engineering,4054,24.2,30.4,45.4,23.4,21.8,54.9,23.3,27.5,49.2
Health Professions,2138,25.9,19.0,55.1,25.4,14.0,60.5,24.9,18.9,56.2
"Biochemistry, Genetics and Molecular Biology",1954,19.5,20.6,59.8,14.1,8.6,77.2,17.1,14.3,68.6
Nursing,1166,28.5,16.0,55.5,23.5,7.8,68.7,27.6,13.8,58.7
Immunology and Microbiology,1048,25.5,17.6,57.0,18.2,7.5,74.4,23.7,12.6,63.7
Neuroscience,266,15.0,21.1,63.9,14.7,18.8,66.5,15.1,17.1,67.8
"Pharmacology, Toxicology and Pharmaceutics",200,29.5,20.0,50.5,24.5,8.5,67.0,26.3,13.8,59.8
Dentistry,77,29.9,14.3,55.8,16.9,15.6,67.5,24.4,16.3,59.3
Chemical Engineering,51,9.8,27.5,62.7,3.9,21.6,74.5,10.3,22.4,67.2
