Metric,Value
Total collaborations,2040
Earliest year,2000.0
Latest year,2025.0
Peak year count,269
Field: Medicine,731 (35.8%)
Field: Engineering,667 (32.7%)
"Field: Biochemistry, Genetics and Molecular Biology",285 (14.0%)
Field: Immunology and Microbiology,92 (4.5%)
Field: Health Professions,89 (4.4%)
First author Ghanaian,232 (11.4%)
First author Dual-affiliated,395 (19.4%)
First author Non-Ghanaian,1413 (69.3%)
Last author Ghanaian,337 (17.0%)
Last author Dual-affiliated,158 (8.0%)
Last author Non-Ghanaian,1489 (75.1%)
Corresponding author Ghanaian,299 (9.9%)
Corresponding author Dual-affiliated,311 (10.3%)
Corresponding author Non-Ghanaian,2418 (79.9%)
