Metric,Value
Total collaborations,514
Earliest year,2001.0
Latest year,2025.0
Peak year count,86
Field: Medicine,361 (70.2%)
"Field: Biochemistry, Genetics and Molecular Biology",41 (8.0%)
Field: Engineering,32 (6.2%)
Field: Health Professions,26 (5.1%)
Field: Immunology and Microbiology,25 (4.9%)
First author Ghanaian,29 (5.6%)
First author Dual-affiliated,30 (5.8%)
First author Non-Ghanaian,455 (88.5%)
Last author Ghanaian,21 (4.7%)
Last author Dual-affiliated,18 (4.0%)
Last author Non-Ghanaian,410 (91.3%)
Corresponding author Ghanaian,39 (4.4%)
Corresponding author Dual-affiliated,30 (3.4%)
Corresponding author Non-Ghanaian,817 (92.2%)
