Period,Position,N,GH_pct,CI_lo,CI_hi
2011-2015,first,2520,42.53968253968254,40.62215541234499,44.479919890923384
2011-2015,last,2520,29.92063492063492,28.16445823553584,31.737935931771588
2016-2019,first,3798,45.681937862032655,44.10287725464273,47.26972458705155
2016-2019,last,3798,29.383886255924168,27.956603871114723,30.85283053160856
2006-2010,first,1168,39.81164383561644,37.04215437051737,42.64793098970568
2006-2010,last,1168,31.164383561643838,28.57355703557072,33.87870161358114
2020-2025,first,13004,42.75607505382959,41.90803513987488,43.608393500770575
2020-2025,last,13004,32.37465395262996,31.575755661997384,33.18396243180239
2000-2005,first,713,44.03927068723703,40.43696133763537,47.70546556107708
2000-2005,last,713,32.959326788218796,29.608353121686058,36.49293789463304
