Variable,Coef,OR,CI_lo,CI_hi,SE,z,p_value,Model,p_fdr,sig_fdr
log_author_count,-0.6371522176416341,0.5287961782720506,0.5003351244282905,0.5588762101694162,0.028227009478663,-22.572430782058653,8.087551692194422e-113,gh_first_A,1.455759304594996e-111,True
year_centered,0.04003058365248838,1.0408426064741836,1.0002179542863094,1.0831172614022737,0.02031257811977746,1.9707288467490183,0.04875489914695846,gh_first_A,0.10969852308065653,False
year_centered_sq,-0.0007370786542441567,0.9992631929214988,0.9980763235403121,1.0004514736766403,0.0006063522690348103,-1.2155947819201474,0.2241393228990055,gh_first_A,0.33620898434850827,False
has_funding_int,-0.16109408722417035,0.8512119791670957,0.7039017876931829,1.0293507505529829,0.09695017931094173,-1.6616172179269955,0.09658954882911075,gh_first_A,0.1931790976582215,False
is_oa_int,0.23488520934632037,1.2647635773619494,1.137319137104186,1.4064890446619287,0.054189464537354924,4.334517998132363,1.4607983719393168e-05,gh_first_A,8.764790231635901e-05,True
bloc_East Asian,-0.36623703277754455,0.693338437795078,0.5612315172467951,0.8565416847620283,0.10784935668326909,-3.3958202815535175,0.0006842326989101415,gh_first_A,0.0024632377160765094,True
bloc_Latin American,0.04617394118764976,1.0472565561643543,0.35297918214902146,3.107113251699351,0.5548572138049092,0.08321770004757435,0.9336784389522705,gh_first_A,0.9336784389522705,False
bloc_MENA,0.16785795663971237,1.1827685942897137,0.8054342451542726,1.7368786540360133,0.19603656564886623,0.8562584030388167,0.3918548643702324,gh_first_A,0.5038133970474417,False
bloc_Multi-bloc,-0.9744949479198111,0.377382903460716,0.32641258290862485,0.43631239505343516,0.07402967251914987,-13.163572318487974,1.4220020966342846e-39,gh_first_A,1.2798018869708563e-38,True
bloc_Other,-0.4097561265135294,0.6638121165732811,0.36287495104950246,1.2143205940092225,0.3081330943980256,-1.3298023937157297,0.18358338706255994,gh_first_A,0.3004091788296435,False
bloc_South Asian,-0.5398855978280784,0.5828149238533531,0.44956484824872744,0.7555600416477873,0.13244365823025817,-4.076341631167175,4.574978912811683e-05,gh_first_A,0.00020587405107652573,True
bloc_Western,-0.0922523354816341,0.9118750220887614,0.8106147309115699,1.0257845363534224,0.0600561513378616,-1.5361013555904446,0.12451352388216942,gh_first_A,0.22412434298790496,False
"field_Biochemistry, Genetics and Molecular Biology",-0.0057111116775738135,0.9943051657186385,0.8794518908133965,1.1241578679879614,0.06262515573122793,-0.09119516927166661,0.9273375133232685,gh_first_A,0.9336784389522705,False
field_Engineering,-0.014635151400765788,0.9854714218886322,0.7784106512318464,1.2476112985123433,0.12033975168828784,-0.12161527006200533,0.9032037195000471,gh_first_A,0.9336784389522705,False
field_Immunology and Microbiology,0.1794704093753517,1.196583495890521,1.014102755563683,1.4119003767440867,0.0844215165779481,2.1258846873432207,0.03351286219724267,gh_first_A,0.08617593136433829,False
field_Neuroscience,-0.39141645407409326,0.676098533413186,0.4925819017130635,0.927986240042035,0.16157044909556997,-2.422574525633508,0.015410964386396006,gh_first_A,0.04623289315918802,True
field_Other,0.9721940978114724,2.643738721783969,0.3312005150538647,21.103090458428852,1.059808877127239,0.9173296419697307,0.3589699290461078,gh_first_A,0.4970352863715339,False
"field_Pharmacology, Toxicology and Pharmaceutics",0.08872589572350893,1.0927810793034287,0.8751404018380405,1.3645473169510554,0.11331471529426741,0.7830041799345859,0.4336246574615974,gh_first_A,0.5203495889539168,False
log_author_count,-0.6169871243639087,0.5395676413118654,0.497207069773618,0.5855372082368115,0.04171508974905613,-14.790502143840381,1.686905863538879e-49,gh_last_A,,
year_centered,-0.04201287740983712,0.958857432892843,0.9294399078335496,0.9892060464209231,0.015898084944644834,-2.642637623092389,0.008226302615124213,gh_last_A,,
year_centered_sq,0.001979518370957552,1.0019814789108763,1.0010225409914697,1.0029413354528867,0.0004885203155174954,4.052069705352222,5.0766534085770904e-05,gh_last_A,,
has_funding_int,-0.36945678913574553,0.6911096469587931,0.582063769969673,0.8205845626577883,0.08761146822587948,-4.216991184113177,2.475836504900929e-05,gh_last_A,,
is_oa_int,0.30771234812961235,1.3603096370418948,1.2142375042104123,1.5239541705906599,0.057957161679475115,5.309306722633818,1.1004300891331571e-07,gh_last_A,,
bloc_East Asian,-0.39234392353547143,0.6754717633705286,0.5423165363000311,0.8413206542137764,0.1120211781448387,-3.5024084734065837,0.000461072164034272,gh_last_A,,
bloc_Latin American,0.14431646615798135,1.1552496480990537,0.4795600864523605,2.7829708667082054,0.4485727285848704,0.32172367369113597,0.7476620415998201,gh_last_A,,
bloc_MENA,-0.07674931950684105,0.9261219852258271,0.5033528173521629,1.7039776116293186,0.3110788822002361,-0.24671979969838917,0.8051250822230189,gh_last_A,,
bloc_Multi-bloc,-0.8578764456741451,0.42406164478503006,0.3344524436921358,0.5376796670779219,0.12111435467906545,-7.083193796040005,1.4086945586637893e-12,gh_last_A,,
bloc_Other,0.7619598271124717,2.1424709813680987,1.0956525118658833,4.18945044737529,0.34214782656901577,2.226990113464229,0.025947934546618832,gh_last_A,,
bloc_South Asian,0.013752173838299688,1.0138471699491065,0.7220900073581108,1.4234874787625278,0.17314166212582205,0.07942729479116345,0.9366927591144717,gh_last_A,,
bloc_Western,-0.2313129857163609,0.7934910757931884,0.6728622757941286,0.9357458576799077,0.08413348304640551,-2.749357061430294,0.005971230016800539,gh_last_A,,
"field_Biochemistry, Genetics and Molecular Biology",-0.392524713121228,0.6753496561484282,0.5835430208344947,0.7815998851422458,0.07454713669161339,-5.265456602914533,1.3984135172081002e-07,gh_last_A,,
field_Engineering,0.04089441354598439,1.0417421058833856,0.8240510434295927,1.3169410121171377,0.11960062174873395,0.3419247571463171,0.7324075178170435,gh_last_A,,
field_Immunology and Microbiology,-0.14237248648787762,0.8672981394733742,0.7467585258089785,1.0072949109206306,0.07634740726698568,-1.8647979228685958,0.06220973456941068,gh_last_A,,
field_Neuroscience,-0.06723446535715545,0.9349759561635884,0.674396679125981,1.296240129380463,0.16668486282646905,-0.40336275422412754,0.6866813825327384,gh_last_A,,
field_Other,-0.24476743316682054,0.7828865905264834,0.18699553308943204,3.277679437043301,0.7305628145246544,-0.33503954526631646,0.7375952555934246,gh_last_A,,
"field_Pharmacology, Toxicology and Pharmaceutics",-0.08952066530458382,0.9143693692075435,0.5927558876743445,1.4104817189168641,0.22114895712720165,-0.40479804412142373,0.6856259665993731,gh_last_A,,
log_author_count,-0.6419846677103125,0.5262469615861131,0.4967989258298685,0.5574405462250418,0.029380225935253322,-21.850909830478713,7.619968095035196e-106,gh_corr_A,,
year_centered,0.030618027815861745,1.0310915803544018,0.9910045490792846,1.0728001683397734,0.020231725553942148,1.5133670993226689,0.13018643731014656,gh_corr_A,,
year_centered_sq,-0.00035299562308155845,0.9996470666725431,0.9984615973069717,1.0008339435410376,0.0006054038910249187,-0.5830745859329619,0.5598430912220276,gh_corr_A,,
has_funding_int,-0.2625947898341932,0.7690534624632527,0.6379092500210066,0.9271588836613377,0.09539002921775423,-2.752853647153705,0.005907830012956022,gh_corr_A,,
is_oa_int,0.34852677897605344,1.4169784876483595,1.2645534682133595,1.587776305967527,0.05806515748301238,6.002339338837046,1.9449467899925508e-09,gh_corr_A,,
bloc_East Asian,-0.5569121291417249,0.5729756097001235,0.46755012788350336,0.7021729430326004,0.1037431537962481,-5.368181983704701,7.953428044121385e-08,gh_corr_A,,
bloc_Latin American,0.013874955727712725,1.0139716596625936,0.34762295689778006,2.9576255140745573,0.5461794895355604,0.025403655746046392,0.9797329951865408,gh_corr_A,,
bloc_MENA,0.07762935585792645,1.080722021141347,0.7696676631963032,1.5174862383193968,0.17317643846922604,0.4482674233522906,0.6539602082760768,gh_corr_A,,
bloc_Multi-bloc,-0.9363904361141678,0.39204037928594226,0.32735357020496497,0.4695096463876427,0.0920020416611461,-10.177931045954386,2.4879475741808206e-24,gh_corr_A,,
bloc_Other,-0.588095139725016,0.5553842070836496,0.34684929014690274,0.889295801491461,0.24018866122385152,-2.4484717002395127,0.014346369955194112,gh_corr_A,,
bloc_South Asian,-0.28214981624209073,0.7541606905485426,0.5820282053503941,0.9772006613085862,0.13218701703139168,-2.134474493626602,0.032803959382936496,gh_corr_A,,
bloc_Western,-0.13233538948231932,0.8760471288092812,0.7576073584322723,1.0130030593724673,0.07410950757924957,-1.7856735769132652,0.07415212604389766,gh_corr_A,,
"field_Biochemistry, Genetics and Molecular Biology",-0.16483131568943704,0.8480367425166507,0.7527544957433618,0.9553796366876022,0.060808583430154585,-2.7106586996680186,0.006714970580023739,gh_corr_A,,
field_Engineering,0.17330736205428335,1.1892315735750545,0.9011407291337689,1.5694238312225484,0.14153122625890885,1.2245167842836684,0.22075733858503954,gh_corr_A,,
field_Immunology and Microbiology,0.007121318972144798,1.0071467358622017,0.8889410492311973,1.1410706575370162,0.06369677345156005,0.11180030928191989,0.9109817422905973,gh_corr_A,,
field_Neuroscience,-0.40555068640628994,0.6666096169090617,0.5200484754422947,0.8544749236649839,0.12667477721472564,-3.2015109505094563,0.0013670887889380464,gh_corr_A,,
field_Other,0.19632790557782026,1.2169258767010371,0.3989390097666792,3.712117775222589,0.5690176719804326,0.34502953993416846,0.7300721631420966,gh_corr_A,,
"field_Pharmacology, Toxicology and Pharmaceutics",-0.10555387292963236,0.8998259952784557,0.6701356694821096,1.2082431344157536,0.15036797061318388,-0.7019704562028429,0.48269758812317876,gh_corr_A,,
log_author_count,-0.37915718131311266,0.6844380233437308,0.6223906500798637,0.7526710237992206,0.048484769021906605,-7.820129681174724,5.276894659471754e-15,gh_first_B,,
